timestamp,activeOrders, sells,buys, digest
Tue Mar 10 00:23:13 GMT 2015 , 4 , 2 , 2 , 9607 : { SELL 2.4@0.003499} 9609 : { SELL 2.4@0.003499} 9610 : { BUY 2.912255@0.003468} 9613 : { BUY 2.008682@0.003468} 
Tue Mar 10 00:25:23 GMT 2015 , 4 , 2 , 2 , 9628 : { BUY 2.912255@0.003468} 9632 : { BUY 2.008302@0.003468} 9633 : { SELL 2.4@0.003499} 9638 : { SELL 2.4@0.003499} 
Tue Mar 10 00:27:33 GMT 2015 , 4 , 2 , 2 , 9650 : { SELL 2.4@0.003519} 9655 : { SELL 2.4@0.003519} 9656 : { BUY 2.895556@0.003488} 9658 : { BUY 1.996786@0.003488} 
Tue Mar 10 00:29:43 GMT 2015 , 4 , 2 , 2 , 9650 : { SELL 2.4@0.003519} 9655 : { SELL 2.4@0.003519} 9656 : { BUY 2.895556@0.003488} 9658 : { BUY 1.996786@0.003488} 
Tue Mar 10 00:31:53 GMT 2015 , 4 , 2 , 2 , 9667 : { BUY 2.895556@0.003488} 9670 : { BUY 1.991594@0.003488} 9671 : { SELL 2.4@0.003519} 9675 : { SELL 2.4@0.003519} 
Tue Mar 10 00:34:03 GMT 2015 , 4 , 2 , 2 , 9688 : { BUY 2.907225@0.003474} 9694 : { BUY 1.99962@0.003474} 9696 : { SELL 2.4@0.003505} 9701 : { SELL 2.4@0.003505} 
Tue Mar 10 00:38:23 GMT 2015 , 4 , 2 , 2 , 9707 : { BUY 2.91646@0.003463} 9711 : { BUY 2.009622@0.003463} 9712 : { SELL 2.4@0.003494} 9715 : { SELL 2.4@0.003494} 
Tue Mar 10 00:40:33 GMT 2015 , 4 , 2 , 2 , 9727 : { BUY 2.91646@0.003463} 9730 : { BUY 2.012495@0.003463} 9731 : { SELL 2.4@0.003494} 9734 : { SELL 2.4@0.003494} 
Tue Mar 10 00:42:43 GMT 2015 , 4 , 2 , 2 , 9749 : { BUY 2.921522@0.003457} 9751 : { BUY 2.015988@0.003457} 9752 : { SELL 2.4@0.003488} 9755 : { SELL 2.4@0.003488} 
Tue Mar 10 00:44:53 GMT 2015 , 4 , 2 , 2 , 9749 : { BUY 2.921522@0.003457} 9751 : { BUY 2.015988@0.003457} 9752 : { SELL 2.4@0.003488} 9755 : { SELL 2.4@0.003488} 
