timestamp,activeOrders, sells,buys, digest
Mon Mar 09 22:58:45 GMT 2015 , 2 , 2 , 0 , 117384582 : { SELL 2.5@0.00352465} 117384634 : { SELL 2.5@0.00352465} 
Mon Mar 09 23:00:55 GMT 2015 , 2 , 2 , 0 , 117386046 : { SELL 2.5@0.00352465} 117386101 : { SELL 2.5@0.00352465} 
Mon Mar 09 23:05:15 GMT 2015 , 2 , 2 , 0 , 117387853 : { SELL 2.5@0.00352539} 117387908 : { SELL 2.5@0.00352539} 
Mon Mar 09 23:07:25 GMT 2015 , 2 , 2 , 0 , 117389575 : { SELL 2.5@0.00351027} 117389622 : { SELL 2.5@0.00351027} 
Mon Mar 09 23:09:35 GMT 2015 , 2 , 2 , 0 , 117391353 : { SELL 2.5@0.00351027} 117391407 : { SELL 2.5@0.00351027} 
Mon Mar 09 23:11:45 GMT 2015 , 2 , 2 , 0 , 117391353 : { SELL 2.5@0.00351027} 117391407 : { SELL 2.5@0.00351027} 
Mon Mar 09 23:13:55 GMT 2015 , 2 , 2 , 0 , 117392827 : { SELL 2.5@0.00351849} 117392878 : { SELL 2.5@0.00351849} 
Mon Mar 09 23:16:05 GMT 2015 , 2 , 2 , 0 , 117394433 : { SELL 2.5@0.00351849} 117394472 : { SELL 2.5@0.00351849} 
Mon Mar 09 23:20:25 GMT 2015 , 2 , 2 , 0 , 117396045 : { SELL 2.5@0.00351739} 117396111 : { SELL 2.5@0.00351739} 
Mon Mar 09 23:22:35 GMT 2015 , 2 , 2 , 0 , 117397536 : { SELL 2.5@0.00351739} 117397582 : { SELL 2.5@0.00351739} 
Mon Mar 09 23:24:45 GMT 2015 , 2 , 2 , 0 , 117399051 : { SELL 2.5@0.00351309} 117399097 : { SELL 2.5@0.00351309} 
Mon Mar 09 23:26:55 GMT 2015 , 2 , 2 , 0 , 117399051 : { SELL 2.5@0.00351309} 117399097 : { SELL 2.5@0.00351309} 
Mon Mar 09 23:29:05 GMT 2015 , 2 , 2 , 0 , 117400419 : { SELL 2.5@0.00351468} 117400471 : { SELL 2.5@0.00351468} 
Mon Mar 09 23:31:15 GMT 2015 , 2 , 2 , 0 , 117401979 : { SELL 2.5@0.00351468} 117402041 : { SELL 2.5@0.00351468} 
Mon Mar 09 23:33:25 GMT 2015 , 2 , 2 , 0 , 117403462 : { SELL 2.5@0.00350709} 117403503 : { SELL 2.5@0.00350709} 
Mon Mar 09 23:35:35 GMT 2015 , 2 , 2 , 0 , 117403462 : { SELL 2.5@0.00350709} 117403503 : { SELL 2.5@0.00350709} 
Mon Mar 09 23:37:45 GMT 2015 , 2 , 2 , 0 , 117405021 : { SELL 2.5@0.00350538} 117405064 : { SELL 2.5@0.00350538} 
Mon Mar 09 23:39:55 GMT 2015 , 2 , 2 , 0 , 117406574 : { SELL 2.5@0.00350538} 117406622 : { SELL 2.5@0.00350538} 
Mon Mar 09 23:44:15 GMT 2015 , 2 , 2 , 0 , 117408036 : { SELL 2.5@0.00350697} 117408094 : { SELL 2.5@0.00350697} 
Mon Mar 09 23:46:25 GMT 2015 , 2 , 2 , 0 , 117409469 : { SELL 2.5@0.00350758} 117409524 : { SELL 2.5@0.00350758} 
Mon Mar 09 23:48:35 GMT 2015 , 2 , 2 , 0 , 117410966 : { SELL 2.5@0.00350941} 117411013 : { SELL 2.5@0.00350941} 
Mon Mar 09 23:50:45 GMT 2015 , 2 , 2 , 0 , 117410966 : { SELL 2.5@0.00350941} 117411013 : { SELL 2.5@0.00350941} 
Mon Mar 09 23:52:55 GMT 2015 , 2 , 2 , 0 , 117412463 : { SELL 2.5@0.00350404} 117412508 : { SELL 2.5@0.00350404} 
